#       M_bf             b_bf         S_bf
    1.00225931e+00    9.93519852e-01    5.11318929e+00
    1.01649006e+00    1.02894666e+00    4.93614954e+00
    1.01901587e+00    1.01645911e+00    4.97760304e+00
    9.88901431e-01    9.81798388e-01    4.97777640e+00
    1.04927579e+00    1.08348404e+00    5.00851945e+00
    9.65747181e-01    9.80527911e-01    4.97489952e+00
    1.05389924e+00    1.00983897e+00    5.02942072e+00
    1.09349875e+00    1.09779355e+00    4.97714260e+00
    1.13689696e+00    1.14210955e+00    4.97805890e+00
    9.92887694e-01    1.03600067e+00    4.97965465e+00
    9.13211674e-01    9.29575428e-01    4.98484116e+00
    9.87163229e-01    8.63588474e-01    4.99150734e+00
    1.10940723e+00    1.08437544e+00    4.98990405e+00
    1.00400521e+00    1.00796759e+00    4.99524428e+00
    9.28744748e-01    9.55572979e-01    4.98033880e+00
    1.07120772e+00    1.10676262e+00    5.01630988e+00
    1.20884900e+00    1.21689305e+00    5.01942216e+00
    9.46280610e-01    9.16169802e-01    4.99973746e+00
    1.02529043e+00    1.00262247e+00    4.97884645e+00
    1.04115441e+00    1.01631485e+00    4.98079875e+00
    1.05275068e+00    1.03918536e+00    4.97964043e+00
    1.00406524e+00    9.55787171e-01    4.98309697e+00
    8.81497656e-01    8.99349168e-01    4.96011837e+00
    8.50633026e-01    8.03111786e-01    5.00425918e+00
    8.99834283e-01    8.34204893e-01    5.00149577e+00
    1.05289176e+00    1.03004047e+00    4.98039049e+00
    1.01521507e+00    1.03563285e+00    4.95158346e+00
    1.02872451e+00    9.87901878e-01    4.99010274e+00
    9.73769235e-01    9.98395924e-01    4.97584564e+00
    1.01766853e+00    1.06664787e+00    4.99062936e+00
    9.24119029e-01    9.44337160e-01    4.96505350e+00
    9.59094208e-01    8.98119947e-01    4.99643694e+00
    1.10031915e+00    1.08016269e+00    4.97716437e+00
    9.61985707e-01    9.51792892e-01    4.97090032e+00
    1.16729594e+00    1.15051405e+00    4.98746829e+00
    9.32207279e-01    9.45044713e-01    4.99824552e+00
    9.23495714e-01    9.22626435e-01    5.02208299e+00
    1.01331933e+00    9.91584451e-01    5.01559399e+00
    1.13055769e+00    1.19011265e+00    4.99795789e+00
    9.97246435e-01    9.81550668e-01    5.00263661e+00
    1.01095935e+00    1.00531253e+00    5.00788058e+00
    1.00233380e+00    1.03055156e+00    4.99325127e+00
    1.11316742e+00    1.09496970e+00    5.02440805e+00
    1.02897720e+00    1.03187769e+00    5.00480244e+00
    9.63050396e-01    9.63663587e-01    4.97926537e+00
    9.39109717e-01    9.45327011e-01    4.99415802e+00
    1.02993416e+00    9.93270520e-01    4.95295238e+00
    1.06588266e+00    1.04314768e+00    4.96436036e+00
    1.06764236e+00    1.04257072e+00    4.98766948e+00
    9.93582536e-01    9.90385875e-01    4.99445905e+00
    9.61138495e-01    9.55573486e-01    5.01446557e+00
    1.09624419e+00    1.05837874e+00    5.00068418e+00
    9.71254455e-01    1.00087010e+00    5.00634965e+00
    9.72071486e-01    9.69207604e-01    5.00578174e+00
    1.09589941e+00    1.05777332e+00    4.98295893e+00
    1.04600218e+00    9.96319338e-01    5.02603469e+00
    1.04775529e+00    1.02579583e+00    4.99272596e+00
    9.17133443e-01    8.73533559e-01    5.02272028e+00
    1.02296216e+00    9.96130485e-01    4.98198776e+00
    1.05417976e+00    1.08291048e+00    4.96717543e+00
    1.08697874e+00    1.03291998e+00    4.99422255e+00
    9.87564112e-01    9.95297029e-01    4.99874980e+00
    1.07941466e+00    1.08238934e+00    4.97801027e+00
    1.07512820e+00    1.05139626e+00    4.98491937e+00
    1.05000491e+00    1.12851719e+00    4.98898641e+00
    1.00024542e+00    9.88839491e-01    5.00392106e+00
    9.68342510e-01    9.78546116e-01    4.99722470e+00
    1.05861337e+00    1.06130219e+00    4.99086639e+00
    1.02165733e+00    9.99924965e-01    4.97427847e+00
    1.01402744e+00    9.93811978e-01    4.98934968e+00
    1.07927368e+00    1.10071153e+00    4.96361887e+00
    9.72318769e-01    8.94881669e-01    5.00607434e+00
    1.02145312e+00    9.90128442e-01    4.98332488e+00
    1.01623310e+00    1.02151729e+00    5.01361085e+00
    1.00760296e+00    1.00128840e+00    5.00014786e+00
    9.80402947e-01    9.65298858e-01    5.02057610e+00
    1.01819252e+00    1.03722373e+00    4.98058335e+00
    1.06244249e+00    1.04191854e+00    4.98388158e+00
    1.11354870e+00    1.15043325e+00    4.98958112e+00
    9.20691226e-01    9.47337689e-01    4.99246016e+00
    1.02301404e+00    1.11234818e+00    4.95780533e+00
    1.09381133e+00    1.05488919e+00    5.00949992e+00
    1.09688252e+00    1.05850974e+00    5.02331980e+00
    1.07651525e+00    1.05945630e+00    4.96864145e+00
    9.81663117e-01    1.02004406e+00    4.98762444e+00
    1.00620007e+00    9.91750215e-01    4.97674628e+00
    1.09170964e+00    1.08140161e+00    5.01170991e+00
    9.11050932e-01    8.56753319e-01    4.98529221e+00
    9.73905505e-01    9.63656230e-01    4.98528323e+00
    1.03810091e+00    1.06017369e+00    5.01412466e+00
    9.84220235e-01    9.70113190e-01    4.97881814e+00
    9.29846362e-01    9.69544652e-01    4.95901553e+00
    9.19049029e-01    9.29304756e-01    4.98194418e+00
    1.09835453e+00    1.07434722e+00    4.97598838e+00
    1.04185004e+00    1.08395657e+00    4.99956570e+00
    1.09251097e+00    1.07321446e+00    4.97917147e+00
    1.17737502e+00    1.24729763e+00    4.99738810e+00
    9.70433505e-01    9.65933182e-01    5.00238229e+00
    9.91704888e-01    1.00800114e+00    5.00111819e+00
    1.03422898e+00    1.01498230e+00    4.96417914e+00
    1.01753493e+00    9.92472211e-01    4.98826438e+00
